,,,,27  Al  [ He ] ,,47  Ti  [ He ] ,,51  V  [ He ] ,,52  Cr  [ He ] ,,75  As  [ He ] ,,206  [Pb]  [ He ] ,,207  [Pb]  [ He ] ,,208  Pb  [ He ] ,
Acq. Date-Time,Type,Level,Sample Name,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD
3/30/23 13:41,Sample,,s2 2-4,4.823013443,5.013894667,<0.000,N/A,26.0853016,1.610185748,0.260854804,3.460465204,159.5392833,0.580724219,0.286968241,1.658622783,0.271808477,3.296575492,0.264603982,1.398308057
3/30/23 13:44,Sample,,s2 8-10,44.88816873,3.900550173,0.037355518,77.66500509,1070.948803,2.258001279,0.348371872,6.01803403,1111.763435,1.71810714,0.432319401,6.195131148,0.421647508,2.482620122,0.40428241,0.579606949
3/30/23 13:47,Sample,,s3 6-8,26.6175126,1.128399709,<0.000,N/A,225.6526455,0.719661536,0.184239635,7.181912673,611.7345309,0.596886811,0.304330564,3.309043197,0.286966584,1.118474948,0.284462159,3.448709519
3/30/23 13:50,Sample,,s2 0-2,5.291075604,9.557955423,<0.000,N/A,9.930874285,0.199377276,0.421279892,13.48085044,162.7460561,0.899662835,0.518657039,4.729510495,0.458577662,4.705748885,0.460283139,1.48400656
3/30/23 13:52,Sample,,s2 6-8,13.31205175,1.555217309,<0.000,N/A,201.194873,1.80973415,0.228398825,3.820517146,954.7502157,0.617799989,0.410143723,2.171048144,0.39230272,3.665652273,0.381606988,2.424423636
3/30/23 13:55,Sample,,s2 12-14,23.2399269,4.202548714,<0.000,N/A,331.8489294,0.384685571,0.100734668,1.904481474,713.7025788,2.196124625,0.253615454,0.631614694,0.237221828,6.952363765,0.229166312,1.246793288
3/30/23 13:58,Sample,,s2 14-16,18.13194409,8.307136701,<0.000,N/A,196.2866343,0.640366049,0.103440085,14.99450451,641.9680749,0.88426148,0.21218733,4.340635448,0.194470881,7.04977484,0.199402786,2.502479415
3/30/23 14:01,Sample,,s2 10-12,35.7909279,2.939052112,<0.000,N/A,292.2324729,0.891029005,0.213570233,6.326196291,845.4025521,1.24962589,0.279600407,7.19690665,0.245770852,2.876462033,0.255156255,5.287791292
3/30/23 14:04,Sample,,s2 4-6,9.016258565,7.354035262,<0.000,N/A,88.21989772,0.630688008,0.245182948,4.687623495,481.6843443,1.307990312,0.209576853,1.963760292,0.164552403,3.55110454,0.179868555,4.231768763
3/30/23 14:07,Sample,,s3 2-4,26.60857574,3.892368042,<0.000,N/A,235.8695564,1.304062407,0.233683148,1.257601796,695.9920602,0.657653401,0.260937798,4.447214854,0.23100252,5.320205232,0.237237844,2.001897203
3/30/23 14:15,Sample,,s3 4-6,26.3912357,3.073852465,<0.000,N/A,200.0907957,1.31314748,0.162408666,1.772646963,723.2264747,2.505787344,0.180430228,5.319003575,0.13327117,12.45565288,0.163506765,2.165484783
3/30/23 14:18,Sample,,s3 0-2,14.77485075,8.323333312,<0.000,N/A,150.2684519,1.042320505,0.163348455,2.477724143,250.2864643,0.94954514,0.136645115,11.8656491,0.07965061,7.317661918,0.110550232,4.716994756
3/30/23 14:21,Sample,,p19,1015.499821,0.356080769,3.880966437,11.09940817,15.60011588,1.33737989,13.25759956,1.967682626,5.881199399,3.760517929,4.191170291,0.501385576,3.696816178,1.10132773,3.81647496,1.364569868
3/30/23 14:24,Sample,,p7,2133.879762,1.585822468,3.847165214,2.646843019,107.575558,0.81794593,15.67691195,1.002752651,15.91874789,1.805594987,7.626637597,0.587612072,7.247134474,1.012750736,7.564303855,0.784589829
3/30/23 14:27,Sample,,p15,2127.306395,0.639588103,10.65306096,2.854535598,116.9367986,0.626090327,22.29460848,0.44836766,12.57807744,1.227261072,7.306134737,3.525675645,7.082879791,1.183295011,7.41481954,1.09168883
3/30/23 14:29,Sample,,p21,236.8223919,1.152515051,0.775309459,5.024438409,0.984725337,2.761507824,74.50009472,0.944929046,0.901679179,1.293440212,10.33018296,0.342658076,11.2256309,1.722460523,10.8095694,1.551516826
3/30/23 14:32,Sample,,p9,820.6742317,1.365318125,1.732651211,3.266768016,17.82810439,1.225769373,32.630392,1.521043519,15.85682064,0.582839282,6.023110312,2.133487353,6.396676493,1.999301703,7.379706839,2.081894309
3/30/23 14:35,Sample,,p12,1697.569775,0.544942229,4.09788803,3.579829088,30.43495561,1.090891162,54.31659651,0.666493949,22.48326406,2.054151257,9.00420546,1.220642611,9.697642941,1.133480521,10.84933816,0.997652321
3/30/23 14:38,Sample,,p24,219.1880518,1.316600172,0.06542763,9.362321889,0.145267245,1.671122252,1.99562417,2.611414406,0.58158526,10.37683472,3.045827862,2.259967257,3.372046282,1.342479697,3.078515236,0.862117177
3/30/23 14:41,Sample,,p13,546.5527948,0.787246687,2.069612794,7.179355736,12.66767223,1.351993458,6.661814121,1.99977488,4.724477525,3.544103922,1.92537053,0.495348539,2.140738011,0.330715414,1.985029161,1.748890253
3/30/23 14:49,Sample,,p18,279.0308212,1.83457282,1.007948012,2.189881705,5.158645252,0.924685736,16.04626353,0.904174679,4.966196422,2.9061454,1.901287647,0.302957155,1.989597011,2.369746838,1.951383131,0.46993643
3/30/23 14:52,Sample,,p10,702.5972992,0.555706228,1.389003436,1.093791863,13.9838265,0.228818555,26.58505826,0.378935841,12.63475448,2.080446556,4.213240143,0.540404498,4.685880603,1.978491086,5.186040697,0.77622677
3/30/23 14:55,Sample,,p11,1380.114554,0.645550521,3.435125001,3.508876857,27.00473768,0.516633504,45.62951014,0.349805042,19.49292588,1.523819428,7.156319507,0.299988032,7.894837254,0.310716924,8.673137014,0.505226027
3/30/23 14:58,Sample,,p20,751.9031404,1.587958837,3.084660039,2.611763861,11.34095304,0.466795828,8.625578192,1.561499431,4.257184037,6.261935196,2.054734797,2.369111816,2.323494087,2.751381863,2.150957383,1.77258192
3/30/23 15:01,Sample,,p4,738.6926793,0.412146106,2.226087314,8.313939775,10.28003963,1.23201232,24.29838325,0.906525792,11.59932203,1.764250668,11.24396629,0.471296985,12.5880022,1.369769684,13.52512689,0.535271784
3/30/23 15:04,Sample,,p16,1915.436153,1.231660852,9.113296075,2.470751283,107.6600293,0.953765442,19.5533398,0.927006268,10.78469874,0.424159382,5.854902655,0.673468443,6.429590043,1.013662722,6.212412924,0.916361032
3/30/23 15:06,Sample,,p23,133.7629625,0.834097769,0.048049147,43.37113815,0.122640048,2.653356831,1.814730118,2.37449813,0.405841319,13.23361197,1.422061993,1.795963208,1.513364896,2.184072533,1.421202947,1.89400192
3/30/23 15:09,Sample,,p3,728.8987237,1.240092939,1.95729494,4.114733415,9.479528053,0.770912386,23.73156496,0.78072909,12.44325503,2.718724779,2.402182868,2.251907776,2.590441933,1.466548695,2.866482999,1.299299391
3/30/23 15:12,Sample,,p2,714.4465789,0.448514424,0.961164724,12.8331621,7.085512194,0.381475409,32.71445529,0.402943992,11.34549689,1.483825972,2.95041734,2.317415474,3.065190301,1.67434901,3.598942644,1.297914459
3/30/23 15:15,Sample,,p17,263.8507314,0.322340765,0.864888649,8.567351526,4.647954639,1.446740872,16.14217112,0.932018845,4.53801703,3.089863758,3.344005731,0.60671459,3.482683706,1.169781204,3.533817663,0.143373423
3/30/23 15:29,Sample,,p5,342.3602195,0.985234001,0.673832271,23.45026687,8.595332831,0.56415694,5.612908178,1.403327982,4.594158955,4.309755525,2.131624227,1.187625666,2.163715893,1.920265472,2.204820284,0.289026702
3/30/23 15:32,Sample,,p1,453.8869211,2.317376517,0.72450403,4.439645013,5.598002118,2.65699551,23.50135069,0.988407234,8.569215386,1.890757232,2.362216483,1.216244409,2.475084678,0.054268242,2.793378482,0.84042562
3/30/23 15:35,Sample,,p22,233.9410776,0.967743449,0.737871065,8.153142732,0.93994428,1.750460274,75.7666742,0.23710535,0.842888544,3.274484494,8.365244457,1.529833193,8.430588989,1.78783305,8.883268487,0.369718432
3/30/23 15:38,Sample,,p8,1886.739514,0.498041759,3.24385074,2.041740681,91.43118862,0.725896652,12.01087531,1.012267657,12.90304717,1.361042414,6.460505081,0.307258697,6.65074157,0.427201394,6.961894144,0.527056252
3/30/23 15:40,Sample,,p14,550.6506662,0.911581898,1.820907064,4.289633316,15.47265222,1.393023368,7.191733451,0.489667906,5.52751757,1.589628177,2.890700904,1.99678906,2.963998558,1.022289239,3.05178603,0.683399567
3/30/23 15:43,Sample,,p6,485.7165593,0.35841809,0.752573468,1.230109984,13.59944376,1.596884479,8.49114782,1.846340784,5.574028256,2.386313569,2.858124827,0.820821172,2.86767502,1.021758381,2.98547187,0.182499358
3/30/23 15:52,Sample,,s1 sur,7.90732872,4.590181258,<0.000,N/A,9.533362078,1.040712312,0.01770683,16.95299936,9.064621613,1.556706767,0.004250487,352.9954239,0.004661957,215.1557859,0.015625127,42.22754361
3/30/23 15:55,Sample,,s1 bot,7.339472683,5.602198596,<0.000,N/A,11.36892594,0.803708367,0.015849825,12.04185033,8.838985436,1.572747804,<0.000,N/A,<0.000,N/A,<0.000,N/A
3/30/23 15:58,Sample,,s2 sur,9.177414575,4.07076889,<0.000,N/A,9.992325442,1.303665164,0.02254294,66.53877283,8.648108144,2.088810001,0.033701346,14.45327841,0.035163834,42.33113423,0.04672235,5.833288366
3/30/23 16:00,Sample,,s2 bot,9.405548933,5.447753637,<0.000,N/A,9.54094932,0.337922748,0.01547073,10.43918635,8.296476294,3.07285156,0.022445264,12.71129442,0.014763089,25.07038593,0.030295459,11.85514183
3/30/23 16:03,Sample,,s3 sur,9.107634451,2.469873751,<0.000,N/A,10.02154609,1.665897045,0.021986167,39.07364438,8.77021307,2.381430246,<0.000,N/A,<0.000,N/A,<0.000,N/A
