Sample_name,Conc,Conc_RSD,Element,Site ,Species,Tissue_type,Weight,Solid_conc,Measurement_type
s2 2-4,4.823013443,5.013894667,Al,2,NA,NA,0.2518,0.478853598,S
s2 8-10,44.88816873,3.900550173,Al,2,NA,NA,0.2517,4.458499079,S
s3 6-8,26.6175126,1.128399709,Al,3,NA,NA,0.2506,2.655378352,S
s2 0-2,5.291075604,9.557955423,Al,2,NA,NA,0.2506,0.527840743,S
s2 6-8,13.31205175,1.555217309,Al,2,NA,NA,0.2508,1.326958906,S
s2 12-14,23.2399269,4.202548714,Al,2,NA,NA,0.2513,2.311970444,S
s2 14-16,18.13194409,8.307136701,Al,2,NA,NA,0.2515,1.802380128,S
s2 10-12,35.7909279,2.939052112,Al,2,NA,NA,0.2522,3.547871521,S
s2 4-6,9.016258565,7.354035262,Al,2,NA,NA,0.2513,0.896961656,S
s3 2-4,26.60857574,3.892368042,Al,3,NA,NA,0.2519,2.640787589,S
s3 4-6,26.3912357,3.073852465,Al,3,NA,NA,0.2512,2.626516291,S
s3 0-2,14.77485075,8.323333312,Al,3,NA,NA,0.2513,1.469841897,S
p19,1015.499821,0.356080769,Al,3,PO,Leaves,0.1006,252.3607904,P
p7,2133.879762,1.585822468,Al,2,MY,Leaves,0.1004,531.3445623,P
p15,2127.306395,0.639588103,Al,3,MY,Leaves,0.1009,527.0828531,P
p21,236.8223919,1.152515051,Al,NA,NA,NA,NA,NA,P
p9,820.6742317,1.365318125,Al,3,CH,Stems,0.1008,203.540236,P
p12,1697.569775,0.544942229,Al,3,CH,Leaves,0.1006,421.8612761,P
p24,219.1880518,1.316600172,Al,NA,NA,NA,NA,NA,P
p13,546.5527948,0.787246687,Al,3,MY,Stems,0.1007,135.68838,P
p18,279.0308212,1.83457282,Al,3,PO,Stems,0.1007,69.27279573,P
p10,702.5972992,0.555706228,Al,3,CH,Stems,0.1001,175.473851,P
p11,1380.114554,0.645550521,Al,3,CH,Leaves,0.1005,343.312078,P
p20,751.9031404,1.587958837,Al,3,PO,Leaves,0.1006,186.8546572,P
p4,738.6926793,0.412146106,Al,1,CH,Leaves,0.1001,184.4886811,P
p16,1915.436153,1.231660852,Al,3,MY,Leaves,0.1005,476.4766549,P
p23,133.7629625,0.834097769,Al,NA,NA,NA,NA,NA,P
p3,728.8987237,1.240092939,Al,1,CH,Leaves,0.1001,182.0426383,P
p2,714.4465789,0.448514424,Al,1,CH,Stems,0.1007,177.3700544,P
p17,263.8507314,0.322340765,Al,3,PO,Stems,0.1002,65.8310208,P
p5,342.3602195,0.985234001,Al,2,MY,Stems,0.1003,85.33405273,P
p1,453.8869211,2.317376517,Al,1,CH,Stems,0.1009,112.4595939,P
p22,233.9410776,0.967743449,Al,NA,NA,NA,NA,NA,P
p8,1886.739514,0.498041759,Al,2,MY,Leaves,0.1004,469.8056558,P
p14,550.6506662,0.911581898,Al,3,MY,Stems,0.1008,136.5701057,P
p6,485.7165593,0.35841809,Al,2,MY,Stems,0.1002,121.1867663,P
s1 sur,7.90732872,4.590181258,Al,1,NA,NA,NA,NA,SW
s1 bot,7.339472683,5.602198596,Al,1,NA,NA,NA,NA,BW
s2 sur,9.177414575,4.07076889,Al,2,NA,NA,NA,NA,SW
s2 bot,9.405548933,5.447753637,Al,2,NA,NA,NA,NA,BW
s3 sur,9.107634451,2.469873751,Al,3,NA,NA,NA,NA,SW
s2 2-4,<0.000,NA,Ti,2,NA,NA,0.2518,NA,S
s2 8-10,0.037355518,77.66500509,Ti,2,NA,NA,0.2517,0.003710322,S
s3 6-8,<0.000,NA,Ti,3,NA,NA,0.2506,NA,S
s2 0-2,<0.000,NA,Ti,2,NA,NA,0.2506,NA,S
s2 6-8,<0.000,NA,Ti,2,NA,NA,0.2508,NA,S
s2 12-14,<0.000,NA,Ti,2,NA,NA,0.2513,NA,S
s2 14-16,<0.000,NA,Ti,2,NA,NA,0.2515,NA,S
s2 10-12,<0.000,NA,Ti,2,NA,NA,0.2522,NA,S
s2 4-6,<0.000,NA,Ti,2,NA,NA,0.2513,NA,S
s3 2-4,<0.000,NA,Ti,3,NA,NA,0.2519,NA,S
s3 4-6,<0.000,NA,Ti,3,NA,NA,0.2512,NA,S
s3 0-2,<0.000,NA,Ti,3,NA,NA,0.2513,NA,S
p19,3.880966437,11.09940817,Ti,3,PO,Leaves,0.1006,0.96445488,P
p7,3.847165214,2.646843019,Ti,2,MY,Leaves,0.1004,0.957959466,P
p15,10.65306096,2.854535598,Ti,3,MY,Leaves,0.1009,2.639509653,P
p21,0.775309459,5.024438409,Ti,NA,NA,NA,NA,NA,P
p9,1.732651211,3.266768016,Ti,3,CH,Stems,0.1008,0.429725003,P
p12,4.09788803,3.579829088,Ti,3,CH,Leaves,0.1006,1.018361836,P
p24,0.06542763,9.362321889,Ti,NA,NA,NA,NA,NA,P
p13,2.069612794,7.179355736,Ti,3,MY,Stems,0.1007,0.513806553,P
p18,1.007948012,2.189881705,Ti,3,PO,Stems,0.1007,0.250235356,P
p10,1.389003436,1.093791863,Ti,3,CH,Stems,0.1001,0.346903955,P
p11,3.435125001,3.508876857,Ti,3,CH,Leaves,0.1005,0.854508707,P
p20,3.084660039,2.611763861,Ti,3,PO,Leaves,0.1006,0.766565616,P
p4,2.226087314,8.313939775,Ti,1,CH,Leaves,0.1001,0.555965863,P
p16,9.113296075,2.470751283,Ti,3,MY,Leaves,0.1005,2.266989073,P
p23,0.048049147,43.37113815,Ti,NA,NA,NA,NA,NA,P
p3,1.95729494,4.114733415,Ti,1,CH,Leaves,0.1001,0.4888349,P
p2,0.961164724,12.8331621,Ti,1,CH,Stems,0.1007,0.238620835,P
p17,0.864888649,8.567351526,Ti,3,PO,Stems,0.1002,0.215790581,P
p5,0.673832271,23.45026687,Ti,2,MY,Stems,0.1003,0.167954205,P
p1,0.72450403,4.439645013,Ti,1,CH,Stems,0.1009,0.179510414,P
p22,0.737871065,8.153142732,Ti,NA,NA,NA,NA,NA,P
p8,3.24385074,2.041740681,Ti,2,MY,Leaves,0.1004,0.807731758,P
p14,1.820907064,4.289633316,Ti,3,MY,Stems,0.1008,0.451613855,P
p6,0.752573468,1.230109984,Ti,2,MY,Stems,0.1002,0.187767831,P
s1 sur,<0.000,NA,Ti,1,NA,NA,NA,NA,SW
s1 bot,<0.000,NA,Ti,1,NA,NA,NA,NA,BW
s2 sur,<0.000,NA,Ti,2,NA,NA,NA,NA,SW
s2 bot,<0.000,NA,Ti,2,NA,NA,NA,NA,BW
s3 sur,<0.000,NA,Ti,3,NA,NA,NA,NA,SW
s2 2-4,26.0853016,1.610185748,V,2,NA,NA,0.2518,0.4788536,S
s2 8-10,1070.948803,2.258001279,V,2,NA,NA,0.2517,4.45849908,S
s3 6-8,225.6526455,0.719661536,V,3,NA,NA,0.2506,2.65537835,S
s2 0-2,9.930874285,0.199377276,V,2,NA,NA,0.2506,0.52784074,S
s2 6-8,201.194873,1.80973415,V,2,NA,NA,0.2508,1.32695891,S
s2 12-14,331.8489294,0.384685571,V,2,NA,NA,0.2513,2.31197044,S
s2 14-16,196.2866343,0.640366049,V,2,NA,NA,0.2515,1.80238013,S
s2 10-12,292.2324729,0.891029005,V,2,NA,NA,0.2522,3.54787152,S
s2 4-6,88.21989772,0.630688008,V,2,NA,NA,0.2513,0.89696166,S
s3 2-4,235.8695564,1.304062407,V,3,NA,NA,0.2519,2.64078759,S
s3 4-6,200.0907957,1.31314748,V,3,NA,NA,0.2512,2.62651629,S
s3 0-2,150.2684519,1.042320505,V,3,NA,NA,0.2513,1.4698419,S
p19,15.60011588,1.33737989,V,3,PO,Leaves,0.1006,252.36079,P
p7,107.575558,0.81794593,V,2,MY,Leaves,0.1004,531.344562,P
p15,116.9367986,0.626090327,V,3,MY,Leaves,0.1009,527.082853,P
p21,0.984725337,2.761507824,V,NA,NA,NA,NA,NA,P
p9,17.82810439,1.225769373,V,3,CH,Stems,0.1008,203.540236,P
p12,30.43495561,1.090891162,V,3,CH,Leaves,0.1006,421.861276,P
p24,0.145267245,1.671122252,V,NA,NA,NA,NA,NA,P
p13,12.66767223,1.351993458,V,3,MY,Stems,0.1007,135.68838,P
p18,5.158645252,0.924685736,V,3,PO,Stems,0.1007,69.2727957,P
p10,13.9838265,0.228818555,V,3,CH,Stems,0.1001,175.473851,P
p11,27.00473768,0.516633504,V,3,CH,Leaves,0.1005,343.312078,P
p20,11.34095304,0.466795828,V,3,PO,Leaves,0.1006,186.854657,P
p4,10.28003963,1.23201232,V,1,CH,Leaves,0.1001,184.488681,P
p16,107.6600293,0.953765442,V,3,MY,Leaves,0.1005,476.476655,P
p23,0.122640048,2.653356831,V,NA,NA,NA,NA,NA,P
p3,9.479528053,0.770912386,V,1,CH,Leaves,0.1001,182.042638,P
p2,7.085512194,0.381475409,V,1,CH,Stems,0.1007,177.370054,P
p17,4.647954639,1.446740872,V,3,PO,Stems,0.1002,65.8310208,P
p5,8.595332831,0.56415694,V,2,MY,Stems,0.1003,85.3340527,P
p1,5.598002118,2.65699551,V,1,CH,Stems,0.1009,112.459594,P
p22,0.93994428,1.750460274,V,NA,NA,NA,NA,NA,P
p8,91.43118862,0.725896652,V,2,MY,Leaves,0.1004,469.805656,P
p14,15.47265222,1.393023368,V,3,MY,Stems,0.1008,136.570106,P
p6,13.59944376,1.596884479,V,2,MY,Stems,0.1002,121.186766,P
s1 sur,9.533362078,1.040712312,V,1,NA,NA,NA,NA,SW
s1 bot,11.36892594,0.803708367,V,1,NA,NA,NA,NA,BW
s2 sur,9.992325442,1.303665164,V,2,NA,NA,NA,NA,SW
s2 bot,9.54094932,0.337922748,V,2,NA,NA,NA,NA,BW
s3 sur,10.02154609,1.665897045,V,3,NA,NA,NA,NA,SW
s2 2-4,0.260854804,3.460465204,Cr,2,NA,NA,0.2518,NA,S
s2 8-10,0.348371872,6.01803403,Cr,2,NA,NA,0.2517,0.00371032,S
s3 6-8,0.184239635,7.181912673,Cr,3,NA,NA,0.2506,NA,S
s2 0-2,0.421279892,13.48085044,Cr,2,NA,NA,0.2506,NA,S
s2 6-8,0.228398825,3.820517146,Cr,2,NA,NA,0.2508,NA,S
s2 12-14,0.100734668,1.904481474,Cr,2,NA,NA,0.2513,NA,S
s2 14-16,0.103440085,14.99450451,Cr,2,NA,NA,0.2515,NA,S
s2 10-12,0.213570233,6.326196291,Cr,2,NA,NA,0.2522,NA,S
s2 4-6,0.245182948,4.687623495,Cr,2,NA,NA,0.2513,NA,S
s3 2-4,0.233683148,1.257601796,Cr,3,NA,NA,0.2519,NA,S
s3 4-6,0.162408666,1.772646963,Cr,3,NA,NA,0.2512,NA,S
s3 0-2,0.163348455,2.477724143,Cr,3,NA,NA,0.2513,NA,S
p19,13.25759956,1.967682626,Cr,3,PO,Leaves,0.1006,0.96445488,P
p7,15.67691195,1.002752651,Cr,2,MY,Leaves,0.1004,0.95795947,P
p15,22.29460848,0.44836766,Cr,3,MY,Leaves,0.1009,2.63950965,P
p21,74.50009472,0.944929046,Cr,NA,NA,NA,NA,NA,P
p9,32.630392,1.521043519,Cr,3,CH,Stems,0.1008,0.429725,P
p12,54.31659651,0.666493949,Cr,3,CH,Leaves,0.1006,1.01836184,P
p24,1.99562417,2.611414406,Cr,NA,NA,NA,NA,NA,P
p13,6.661814121,1.99977488,Cr,3,MY,Stems,0.1007,0.51380655,P
p18,16.04626353,0.904174679,Cr,3,PO,Stems,0.1007,0.25023536,P
p10,26.58505826,0.378935841,Cr,3,CH,Stems,0.1001,0.34690396,P
p11,45.62951014,0.349805042,Cr,3,CH,Leaves,0.1005,0.85450871,P
p20,8.625578192,1.561499431,Cr,3,PO,Leaves,0.1006,0.76656562,P
p4,24.29838325,0.906525792,Cr,1,CH,Leaves,0.1001,0.55596586,P
p16,19.5533398,0.927006268,Cr,3,MY,Leaves,0.1005,2.26698907,P
p23,1.814730118,2.37449813,Cr,NA,NA,NA,NA,NA,P
p3,23.73156496,0.78072909,Cr,1,CH,Leaves,0.1001,0.4888349,P
p2,32.71445529,0.402943992,Cr,1,CH,Stems,0.1007,0.23862084,P
p17,16.14217112,0.932018845,Cr,3,PO,Stems,0.1002,0.21579058,P
p5,5.612908178,1.403327982,Cr,2,MY,Stems,0.1003,0.16795421,P
p1,23.50135069,0.988407234,Cr,1,CH,Stems,0.1009,0.17951041,P
p22,75.7666742,0.23710535,Cr,NA,NA,NA,NA,NA,P
p8,12.01087531,1.012267657,Cr,2,MY,Leaves,0.1004,0.80773176,P
p14,7.191733451,0.489667906,Cr,3,MY,Stems,0.1008,0.45161386,P
p6,8.49114782,1.846340784,Cr,2,MY,Stems,0.1002,0.18776783,P
s1 sur,0.01770683,16.95299936,Cr,1,NA,NA,NA,NA,SW
s1 bot,0.015849825,12.04185033,Cr,1,NA,NA,NA,NA,BW
s2 sur,0.02254294,66.53877283,Cr,2,NA,NA,NA,NA,SW
s2 bot,0.01547073,10.43918635,Cr,2,NA,NA,NA,NA,BW
s3 sur,0.021986167,39.07364438,Cr,3,NA,NA,NA,NA,SW
s2 2-4,159.5392833,0.580724219,As,2,NA,NA,0.2518,0.4788536,S
s2 8-10,1111.763435,1.71810714,As,2,NA,NA,0.2517,4.45849908,S
s3 6-8,611.7345309,0.596886811,As,3,NA,NA,0.2506,2.65537835,S
s2 0-2,162.7460561,0.899662835,As,2,NA,NA,0.2506,0.52784074,S
s2 6-8,954.7502157,0.617799989,As,2,NA,NA,0.2508,1.32695891,S
s2 12-14,713.7025788,2.196124625,As,2,NA,NA,0.2513,2.31197044,S
s2 14-16,641.9680749,0.88426148,As,2,NA,NA,0.2515,1.80238013,S
s2 10-12,845.4025521,1.24962589,As,2,NA,NA,0.2522,3.54787152,S
s2 4-6,481.6843443,1.307990312,As,2,NA,NA,0.2513,0.89696166,S
s3 2-4,695.9920602,0.657653401,As,3,NA,NA,0.2519,2.64078759,S
s3 4-6,723.2264747,2.505787344,As,3,NA,NA,0.2512,2.62651629,S
s3 0-2,250.2864643,0.94954514,As,3,NA,NA,0.2513,1.4698419,S
